date;time(local time);altitude (m);longitude;latitude
2017-11-01;10:05:59.-1;201.60000610;77.07490540;28.48648262
2017-11-01;10:06:00.-1;201.60000610;77.07490540;28.48648262
2017-11-01;10:06:01.-1;201.60000610;77.07490540;28.48648262
2017-11-01;10:06:02.-1;201.60000610;77.07490540;28.48648262
2017-11-01;10:06:03.-1;201.60000610;77.07489777;28.48647881
2017-11-01;10:06:04.-1;201.60000610;77.07489777;28.48648262
2017-11-01;10:06:05.-1;201.60000610;77.07488251;28.48648262
2017-11-01;10:06:06.-1;201.60000610;77.07487488;28.48648262
2017-11-01;10:06:07.-1;201.69999695;77.07487488;28.48648262
2017-11-01;10:06:08.-1;201.69999695;77.07487488;28.48648643
2017-11-01;10:06:09.-1;201.80000305;77.07487488;28.48648643
2017-11-01;10:06:10.-1;201.80000305;77.07488251;28.48648643
2017-11-01;10:06:11.-1;201.80000305;77.07487488;28.48648643
2017-11-01;10:06:12.-1;201.89999390;77.07487488;28.48649025
2017-11-01;10:06:13.-1;201.89999390;77.07487488;28.48648643
2017-11-01;10:06:14.-1;201.89999390;77.07487488;28.48649025
2017-11-01;10:06:15.-1;201.89999390;77.07487488;28.48649025
2017-11-01;10:06:16.-1;201.89999390;77.07488251;28.48649025
2017-11-01;10:06:17.-1;201.89999390;77.07489777;28.48648643
2017-11-01;10:06:18.-1;202.00000000;77.07490540;28.48648262
2017-11-01;10:06:19.-1;202.00000000;77.07490540;28.48648643
2017-11-01;10:06:20.-1;201.89999390;77.07489777;28.48648643
2017-11-01;10:06:21.-1;201.89999390;77.07488251;28.48648643
2017-11-01;10:06:22.-1;201.89999390;77.07487488;28.48648643
2017-11-01;10:06:23.-1;201.80000305;77.07486725;28.48648262
2017-11-01;10:06:24.-1;201.80000305;77.07486725;28.48648262
2017-11-01;10:06:25.-1;201.80000305;77.07487488;28.48647881
2017-11-01;10:06:26.-1;201.80000305;77.07487488;28.48647881
2017-11-01;10:06:27.-1;201.80000305;77.07487488;28.48647881
2017-11-01;10:06:28.-1;201.80000305;77.07487488;28.48647881
2017-11-01;10:06:29.-1;201.69999695;77.07487488;28.48647499
2017-11-01;10:06:30.-1;201.69999695;77.07487488;28.48647499
2017-11-01;10:06:31.-1;201.69999695;77.07488251;28.48647118
2017-11-01;10:06:32.-1;201.69999695;77.07488251;28.48647118
2017-11-01;10:06:33.-1;201.69999695;77.07487488;28.48647118
2017-11-01;10:06:34.-1;201.69999695;77.07487488;28.48647499
2017-11-01;10:06:35.-1;201.69999695;77.07487488;28.48647881
2017-11-01;10:06:36.-1;201.69999695;77.07487488;28.48647499
2017-11-01;10:06:37.-1;201.69999695;77.07487488;28.48647881
2017-11-01;10:06:38.-1;201.69999695;77.07487488;28.48647881
2017-11-01;10:06:39.-1;201.69999695;77.07488251;28.48647881
2017-11-01;10:06:40.-1;201.69999695;77.07489777;28.48647881
2017-11-01;10:06:41.-1;201.69999695;77.07490540;28.48647881
2017-11-01;10:06:42.-1;201.69999695;77.07490540;28.48647881
2017-11-01;10:06:43.-1;201.69999695;77.07490540;28.48647881
2017-11-01;10:06:44.-1;201.69999695;77.07490540;28.48647881
2017-11-01;10:06:45.-1;201.69999695;77.07490540;28.48648643
2017-11-01;10:06:46.-1;201.69999695;77.07491302;28.48648643
2017-11-01;10:06:47.-1;201.69999695;77.07491302;28.48649025
2017-11-01;10:06:48.-1;201.69999695;77.07492065;28.48649025
2017-11-01;10:06:49.-1;201.69999695;77.07492828;28.48649406
2017-11-01;10:06:50.-1;201.69999695;77.07492828;28.48649406
2017-11-01;10:06:51.-1;201.80000305;77.07492828;28.48649979
2017-11-01;10:06:52.-1;201.69999695;77.07492828;28.48649979
2017-11-01;10:06:53.-1;201.69999695;77.07492828;28.48649979
2017-11-01;10:06:54.-1;201.69999695;77.07492828;28.48649979
2017-11-01;10:06:55.-1;201.80000305;77.07492828;28.48650360
2017-11-01;10:06:56.-1;201.80000305;77.07492065;28.48650360
2017-11-01;10:06:57.-1;201.80000305;77.07492828;28.48650742
2017-11-01;10:06:58.-1;201.80000305;77.07492828;28.48651123
2017-11-01;10:06:59.-1;201.80000305;77.07493591;28.48650742
2017-11-01;10:07:00.-1;201.80000305;77.07493591;28.48650360
2017-11-01;10:07:01.-1;201.80000305;77.07494354;28.48650360
2017-11-01;10:07:02.-1;201.80000305;77.07493591;28.48650360
2017-11-01;10:07:03.-1;201.80000305;77.07493591;28.48650360
2017-11-01;10:07:04.-1;201.89999390;77.07492828;28.48651123
2017-11-01;10:07:05.-1;201.89999390;77.07492828;28.48651505
2017-11-01;10:07:06.-1;201.89999390;77.07492065;28.48651886
2017-11-01;10:07:07.-1;201.89999390;77.07492065;28.48652267
2017-11-01;10:07:08.-1;202.00000000;77.07491302;28.48652840
2017-11-01;10:07:09.-1;202.00000000;77.07491302;28.48652840
2017-11-01;10:07:10.-1;202.00000000;77.07491302;28.48653221
2017-11-01;10:07:11.-1;202.00000000;77.07490540;28.48653221
2017-11-01;10:07:12.-1;202.00000000;77.07491302;28.48653603
2017-11-01;10:07:13.-1;202.00000000;77.07491302;28.48653984
2017-11-01;10:07:14.-1;202.10000610;77.07491302;28.48653984
2017-11-01;10:07:15.-1;202.10000610;77.07490540;28.48653603
2017-11-01;10:07:16.-1;202.10000610;77.07490540;28.48653603
2017-11-01;10:07:17.-1;202.10000610;77.07490540;28.48653603
2017-11-01;10:07:18.-1;202.10000610;77.07490540;28.48653221
2017-11-01;10:07:19.-1;202.19999695;77.07490540;28.48653221
2017-11-01;10:07:20.-1;202.19999695;77.07490540;28.48653221
2017-11-01;10:07:21.-1;202.30000305;77.07490540;28.48652840
2017-11-01;10:07:22.-1;202.30000305;77.07490540;28.48652267
2017-11-01;10:07:23.-1;202.30000305;77.07490540;28.48652267
2017-11-01;10:07:24.-1;202.39999390;77.07490540;28.48651886
2017-11-01;10:07:25.-1;202.39999390;77.07490540;28.48651505
2017-11-01;10:07:26.-1;202.50000000;77.07490540;28.48651505
2017-11-01;10:07:27.-1;202.50000000;77.07489777;28.48651505
2017-11-01;10:07:28.-1;202.60000610;77.07489777;28.48651505
2017-11-01;10:07:29.-1;202.60000610;77.07488251;28.48651505
2017-11-01;10:07:30.-1;202.60000610;77.07488251;28.48651505
2017-11-01;10:07:31.-1;202.69999695;77.07488251;28.48651123
2017-11-01;10:07:32.-1;202.69999695;77.07488251;28.48651123
2017-11-01;10:07:33.-1;202.69999695;77.07487488;28.48651123
2017-11-01;10:07:34.-1;202.80000305;77.07486725;28.48651123
2017-11-01;10:07:35.-1;202.80000305;77.07485962;28.48651123
2017-11-01;10:07:36.-1;202.80000305;77.07485962;28.48650742
2017-11-01;10:07:37.-1;202.89999390;77.07485962;28.48650742
2017-11-01;10:07:38.-1;202.89999390;77.07485199;28.48650742
2017-11-01;10:07:39.-1;203.00000000;77.07485199;28.48650742
2017-11-01;10:07:40.-1;203.00000000;77.07485199;28.48650360
2017-11-01;10:07:41.-1;203.00000000;77.07485199;28.48650360
2017-11-01;10:07:42.-1;203.00000000;77.07483673;28.48650360
2017-11-01;10:07:43.-1;203.10000610;77.07483673;28.48649979
2017-11-01;10:07:44.-1;203.10000610;77.07482910;28.48649979
2017-11-01;10:07:45.-1;203.19999695;77.07482910;28.48649979
2017-11-01;10:07:46.-1;203.19999695;77.07482147;28.48649406
2017-11-01;10:07:47.-1;203.19999695;77.07482147;28.48649406
2017-11-01;10:07:48.-1;203.30000305;77.07481384;28.48649406
2017-11-01;10:07:49.-1;203.30000305;77.07481384;28.48649025
2017-11-01;10:07:50.-1;203.39999390;77.07480621;28.48649025
2017-11-01;10:07:51.-1;203.39999390;77.07480621;28.48649025
2017-11-01;10:07:52.-1;203.39999390;77.07480621;28.48649025
2017-11-01;10:07:53.-1;203.50000000;77.07480621;28.48649406
2017-11-01;10:07:54.-1;203.50000000;77.07479858;28.48649406
2017-11-01;10:07:55.-1;203.60000610;77.07480621;28.48649406
2017-11-01;10:07:56.-1;203.60000610;77.07480621;28.48649406
2017-11-01;10:07:57.-1;203.69999695;77.07480621;28.48649025
2017-11-01;10:07:58.-1;203.69999695;77.07480621;28.48649025
2017-11-01;10:07:59.-1;203.80000305;77.07480621;28.48648643
2017-11-01;10:08:00.-1;203.80000305;77.07480621;28.48648643
2017-11-01;10:08:01.-1;203.89999390;77.07480621;28.48648643
2017-11-01;10:08:02.-1;204.00000000;77.07479858;28.48648643
2017-11-01;10:08:03.-1;204.10000610;77.07479095;28.48648643
2017-11-01;10:08:04.-1;204.10000610;77.07478333;28.48648643
2017-11-01;10:08:05.-1;204.19999695;77.07478333;28.48648643
2017-11-01;10:08:06.-1;204.30000305;77.07478333;28.48648643
2017-11-01;10:08:07.-1;204.30000305;77.07478333;28.48648643
2017-11-01;10:08:08.-1;204.39999390;77.07478333;28.48649025
2017-11-01;10:08:09.-1;204.39999390;77.07477570;28.48649025
2017-11-01;10:08:10.-1;204.50000000;77.07476044;28.48649406
2017-11-01;10:08:11.-1;204.50000000;77.07475281;28.48649025
2017-11-01;10:08:12.-1;204.60000610;77.07474518;28.48649025
2017-11-01;10:08:13.-1;204.60000610;77.07473755;28.48649025
2017-11-01;10:08:14.-1;204.69999695;77.07472992;28.48648643
2017-11-01;10:08:15.-1;204.69999695;77.07472229;28.48648643
2017-11-01;10:08:16.-1;204.80000305;77.07471466;28.48648643
2017-11-01;10:08:17.-1;204.80000305;77.07470703;28.48648643
2017-11-01;10:08:18.-1;204.89999390;77.07469940;28.48648643
2017-11-01;10:08:19.-1;205.00000000;77.07468414;28.48648643
2017-11-01;10:08:20.-1;205.00000000;77.07467651;28.48648643
2017-11-01;10:08:21.-1;205.10000610;77.07466888;28.48647881
2017-11-01;10:08:22.-1;205.10000610;77.07466125;28.48647881
2017-11-01;10:08:23.-1;205.19999695;77.07466125;28.48647881
2017-11-01;10:08:24.-1;205.19999695;77.07465363;28.48647881
2017-11-01;10:08:25.-1;205.30000305;77.07463837;28.48647881
2017-11-01;10:08:26.-1;205.30000305;77.07465363;28.48647881
2017-11-01;10:08:27.-1;205.39999390;77.07463074;28.48647881
2017-11-01;10:08:28.-1;205.39999390;77.07462311;28.48648262
2017-11-01;10:08:29.-1;205.50000000;77.07461548;28.48648262
2017-11-01;10:08:30.-1;205.60000610;77.07462311;28.48648262
2017-11-01;10:08:31.-1;205.69999695;77.07463074;28.48648262
2017-11-01;10:08:32.-1;205.69999695;77.07463074;28.48647881
2017-11-01;10:08:33.-1;205.80000305;77.07463074;28.48647499
2017-11-01;10:08:34.-1;205.80000305;77.07463074;28.48647118
2017-11-01;10:08:35.-1;205.89999390;77.07463837;28.48647118
2017-11-01;10:08:36.-1;205.89999390;77.07463837;28.48646736
2017-11-01;10:08:37.-1;206.00000000;77.07465363;28.48646164
2017-11-01;10:08:38.-1;206.00000000;77.07465363;28.48645782
2017-11-01;10:08:39.-1;206.10000610;77.07466125;28.48645782
2017-11-01;10:08:40.-1;206.10000610;77.07466888;28.48646164
2017-11-01;10:08:41.-1;206.10000610;77.07467651;28.48646164
2017-11-01;10:08:42.-1;206.19999695;77.07467651;28.48645782
2017-11-01;10:08:43.-1;206.19999695;77.07468414;28.48645782
2017-11-01;10:08:44.-1;206.30000305;77.07468414;28.48645401
2017-11-01;10:08:45.-1;206.30000305;77.07469177;28.48644638
2017-11-01;10:08:46.-1;206.39999390;77.07469177;28.48644257
2017-11-01;10:08:47.-1;206.39999390;77.07469940;28.48643875
2017-11-01;10:08:48.-1;206.50000000;77.07470703;28.48643875
2017-11-01;10:08:49.-1;206.50000000;77.07472229;28.48643875
2017-11-01;10:08:50.-1;206.60000610;77.07472992;28.48643875
2017-11-01;10:08:51.-1;206.69999695;77.07473755;28.48643875
2017-11-01;10:08:52.-1;206.69999695;77.07473755;28.48643875
2017-11-01;10:08:53.-1;206.80000305;77.07474518;28.48643875
2017-11-01;10:08:54.-1;206.80000305;77.07474518;28.48643875
2017-11-01;10:08:55.-1;206.89999390;77.07474518;28.48644257
2017-11-01;10:08:56.-1;206.89999390;77.07476044;28.48644257
2017-11-01;10:08:57.-1;207.00000000;77.07476044;28.48644257
2017-11-01;10:08:58.-1;207.10000610;77.07477570;28.48645020
2017-11-01;10:08:59.-1;207.10000610;77.07477570;28.48645020
2017-11-01;10:09:00.-1;207.19999695;77.07478333;28.48645782
2017-11-01;10:09:01.-1;207.30000305;77.07479095;28.48646164
2017-11-01;10:09:02.-1;207.30000305;77.07479858;28.48645782
2017-11-01;10:09:03.-1;207.39999390;77.07479858;28.48646164
2017-11-01;10:09:04.-1;207.39999390;77.07480621;28.48646164
2017-11-01;10:09:05.-1;207.50000000;77.07480621;28.48646164
2017-11-01;10:09:06.-1;207.50000000;77.07480621;28.48646164
2017-11-01;10:09:07.-1;207.50000000;77.07480621;28.48646736
2017-11-01;10:09:08.-1;207.60000610;77.07481384;28.48646736
2017-11-01;10:09:09.-1;207.60000610;77.07481384;28.48647118
2017-11-01;10:09:10.-1;207.69999695;77.07482147;28.48647118
2017-11-01;10:09:11.-1;207.69999695;77.07482147;28.48647118
2017-11-01;10:09:12.-1;207.69999695;77.07482910;28.48647118
2017-11-01;10:09:13.-1;207.80000305;77.07484436;28.48647499
2017-11-01;10:09:14.-1;207.89999390;77.07484436;28.48647881
2017-11-01;10:09:15.-1;208.00000000;77.07485199;28.48648262
2017-11-01;10:09:16.-1;208.00000000;77.07485962;28.48649025
2017-11-01;10:09:17.-1;208.10000610;77.07485962;28.48648643
